,5,1,2,3,4,6,7,8,9
1,2022-09-09,,,,,,,,
2,2022-05-10,1,媒体报道与MD&A语调操纵,王跃堂; 周洁,安徽大学学报(哲学社会科学版),期刊,,239,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=1&recid=&FileName=ADZS202203012&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=
3,2022-05-10,2,企业多元化经营对银行借款融资的影响研究,高利芳; 李璐,安徽大学学报(哲学社会科学版),期刊,1,218,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=2&recid=&FileName=ADZS202203013&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=
4,2022-05-10,3,并购商誉、公司治理与风险防控,朱平芳; 廖辉,安徽大学学报(哲学社会科学版),期刊,,248,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=3&recid=&FileName=ADZS202203014&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=
5,2022-05-10,4,长三角城市高质量发展的评价逻辑与空间特征,杜宇; 李娜娜,安徽大学学报(哲学社会科学版),期刊,,249,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=4&recid=&FileName=ADZS202203015&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=
6,2022-05-10,5,民国时期徽州宗族的修谱、理主活动——以歙县南乡东源张叙伦祠文书为例,王振忠,安徽大学学报(哲学社会科学版),期刊,,68,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=5&recid=&FileName=ADZS202203001&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=
7,2022-05-10,6,公私文书与明代徽州家谱的编修,祝虻,安徽大学学报(哲学社会科学版),期刊,,62,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=6&recid=&FileName=ADZS202203002&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=
8,2022-05-10,7,从丧礼之“踊”看儒家礼仪的身心修炼,蒋昊,安徽大学学报(哲学社会科学版),期刊,,83,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=7&recid=&FileName=ADZS202203003&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=
9,2022-05-10,8,王者以仁义治天下的理路及困境——论董仲舒天下观念的内在张力,刘飞飞,安徽大学学报(哲学社会科学版),期刊,,91,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=8&recid=&FileName=ADZS202203004&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=
10,2022-05-10,9,论金元文人题咏杨邦基绘画的诗歌,胡传志,安徽大学学报(哲学社会科学版),期刊,,57,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=9&recid=&FileName=ADZS202203005&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=
