,5,1.0,2,3,4,6,7.0,8.0,9,,,,
1.0,2022-09-09,,,,,,,,,,,,
2.0,2022-01-15,1.0,参与与贡献：萨法维伊朗与早期世界贸易体系,高娟; 王泽壮,安徽史学,期刊,,160.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=1&recid=&FileName=AFSX202201011&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=, 高娟1 王泽壮2,伊朗; 萨法维王朝; 世界市场; 早期世界贸易体系;,哲学与人文科学; 经济与管理科学,世界历史; 贸易经济
3.0,2022-01-15,2.0,小黄册所见明初浙东地区民田考略,耿洪利,安徽史学,期刊,,216.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=2&recid=&FileName=AFSX202201003&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=, 耿洪利,明初; 处州府; 小黄册; 民田; 种类; 科则;,哲学与人文科学; 经济与管理科学,农业经济; 中国古代史
4.0,2022-01-15,3.0,清代江南徽州籍收藏家述论,范金民; 黄泳,安徽史学,期刊,,183.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=3&recid=&FileName=AFSX202201013&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=, 范金民1 黄泳2,清代; 江南; 徽州籍; 收藏家;,哲学与人文科学; 信息科技; 社会科学Ⅱ辑,档案及博物馆; 中国古代史; 体育
5.0,2022-01-15,4.0,消失的“黑巫术”?清代司法中之蛊毒案件探究——基于洗冤录文本的考察与展开,茆巍,安徽史学,期刊,,296.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=4&recid=&FileName=AFSX202201004&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=, 茆巍,清代; 《洗冤录》; 蛊; 观念; 理性;,哲学与人文科学; 社会科学Ⅰ辑,宗教; 法理、法史; 中国古代史
6.0,2022-01-15,5.0,清代刑部对顶凶问题的治理,李明; 张如星,安徽史学,期刊,,225.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=5&recid=&FileName=AFSX202201005&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=, 李明1 张如星2,顶凶; 刑部; 审转; 京控; 复审;,哲学与人文科学; 社会科学Ⅰ辑,法理、法史; 中国古代史
7.0,2022-01-15,6.0,华洋诉讼中的法理与国权:熊希龄与华昌公司案研究,侯庆斌,安徽史学,期刊,,169.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=6&recid=&FileName=AFSX202201007&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=, 侯庆斌,熊希龄; 华昌公司; 会审公廨; 华洋诉讼; 国权;,哲学与人文科学; 社会科学Ⅰ辑,中国近现代史; 法理、法史
8.0,2022-01-15,7.0,论太建北伐陈与北齐在淮南的攻守——兼释“他家物，从他去”,汪舒桐,安徽史学,期刊,,124.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=7&recid=&FileName=AFSX202201016&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=, 汪舒桐,太建北伐; 淮南; 军事战略; 心理认同; 分界线;,哲学与人文科学; 社会科学Ⅰ辑,军事; 中国古代史
9.0,2022-01-15,8.0,抗战时期新四军发展方向的选择与调整,黄志高,安徽史学,期刊,,342.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=8&recid=&FileName=AFSX202201018&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=, 黄志高,抗战时期; 新四军; 发展方向;,哲学与人文科学; 社会科学Ⅰ辑,军事; 中国近现代史
10.0,2022-01-15,9.0,试论安福国会对巴黎和会的反应与应对,严泉,安徽史学,期刊,,216.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=9&recid=&FileName=AFSX202201006&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=, 严泉,安福国会; 巴黎和会; 中国外交; 民初政治;,哲学与人文科学; 社会科学Ⅰ辑,中国近现代史; 中国政治与国际政治
